"symbol","mean","median","mode","skewness","kurtosis"
"AAPL",0.000846162293463042,0.000887667562710526,"numeric",-0.358597231642241,9.05764548853275
"MSFT",0.000940880056499735,0.000832643463310134,"numeric",-0.277793034530226,12.029839003615
"AMZN",0.000820433972850634,0.00110113018622382,"numeric",0.00446875463562332,9.4695018585922
"GOOGL",0.000669147191615075,0.000824981100622679,"numeric",0.24561617483938,10.6411820907291
"BRK-B",0.000475646754753826,0.000481968808437649,"numeric",-0.237112821600698,13.9394894813029
"GOOG",0.00067510255455281,0.000698162134367575,"numeric",0.28253429750285,10.6908404715289
"NVDA",0.00165447806366241,0.00194485912143172,"numeric",0.0484045073423197,11.145786275806
"XOM",0.000272683226800963,0.000117515444807204,"numeric",-0.17207971021775,10.7168566170722
"UNH",0.00093330741938758,0.0010195624797289,"numeric",-0.389603911276237,17.5746129630367
"TSLA",0.00169374520039865,0.00134543621363203,"numeric",0.00187642534316148,7.9089191576986
"JNJ",0.000436777110429839,0.000469294831285438,"numeric",-0.480471059700473,13.0923354256161
"JPM",0.000559821687551586,0.000478256933462262,"numeric",-0.070526816206259,16.791410090292
"V",0.000728888810706719,0.00130974474786338,"numeric",-0.0161901278745807,12.1712926924963
"PG",0.000401348483063319,0.000618730905777909,"numeric",-0.0416271312793064,15.168061809266
"META",0.000658864974351235,0.00105056040501239,"numeric",-1.10508919625379,30.382538788459
"HD",0.000730908970850751,0.0010155730942083,"numeric",-1.42310169324593,28.2690831699697
"MA",0.000805470306575927,0.00150480146216214,"numeric",0.0409669504066431,11.5886136949493
"CVX",0.00034241734461123,0.000587680478446373,"numeric",-0.985634632422424,31.7600694582222
"MRK",0.000519890252326867,0.000391849888806917,"numeric",-0.0286042643749681,10.2662089798872
"LLY",0.000860281892599092,0.000838647402767734,"numeric",0.584927136527736,14.0814281664233
"ABBV",0.000731349269802224,0.00137588324700655,"numeric",-0.866759246181829,14.4696305327051
"PFE",0.000375575266717984,0.000208634948703157,"numeric",0.135064907773892,8.53783643922165
"BAC",0.000490505717613494,0.000578886070510265,"numeric",-0.0796532004929876,12.9719903661913
"KO",0.000316825056919536,0.000631017898813369,"numeric",-0.902364908999807,13.6095164935291
"AVGO",0.00124642116587832,0.00152842988370505,"numeric",-0.492180248323559,12.8026917568155
"PEP",0.000469146719538058,0.000583775107256379,"numeric",-0.579711177803725,26.4618452014633
"COST",0.000714886808636719,0.00089596251476376,"numeric",-0.438246165125282,13.0741542837355
"TMO",0.000870283174351912,0.00104532422424519,"numeric",-0.134187723474696,6.69382304620543
"WMT",0.000375779264210755,0.000443196123293355,"numeric",-0.167582496595426,19.7358451598931
"CSCO",0.00046707330903569,0.000474057307637388,"numeric",-0.552127876317646,15.985884894424
"DIS",0.000334324656404214,0.000432420977196202,"numeric",-0.0398126205024996,15.0829326442041
"MCD",0.000536718074536997,0.000728978995181429,"numeric",-0.139514564777812,36.7718327384367
"ABT",0.000564463495550511,0.000706197687874166,"numeric",-0.41465313633615,9.92305509764095
"WFC",0.000227628768663264,0.000341805329963751,"numeric",-0.354205363887908,14.1703790225042
"ACN",0.0006240677595755,0.00117683897036525,"numeric",-0.155013982394084,10.4710298081359
"VZ",0.000160512103896425,0.000213176232918055,"numeric",-0.0512885043262685,7.6167075329331
"DHR",0.000729482614911586,0.000737025811868186,"numeric",0.0704985294221907,8.58681511373944
"ADBE",0.000893940778159757,0.00135356299620959,"numeric",-0.387915017516826,13.1134346668196
"CMCSA",0.000358819682556846,0.000755770598238836,"numeric",-0.300336228902798,8.35215214460615
"CRM",0.000538991937088955,0.000860532380245083,"numeric",0.151112060662353,12.7860466964527
"LIN",0.000504526674760671,0.000449728755721246,"numeric",-0.0441656083623031,9.93412113781585
"PM",0.000267439172604355,0.000589253343450391,"numeric",-1.44487491186086,21.1643373036763
"TXN",0.000778577274513838,0.00129553773416191,"numeric",-0.143285575447636,8.77277149457527
"NKE",0.000671136425823206,0.000522739579707832,"numeric",0.360292371766513,13.9970283043801
"NFLX",0.0012979559214897,0.000447592239807726,"numeric",-0.433671121177258,33.8980931793859
"BMY",0.000427487288430866,0.000790952537110368,"numeric",-1.35641771547244,17.0389630620522
"COP",0.00041771585061392,0.000199047731149982,"numeric",-0.558053392328913,19.1848739742189
"QCOM",0.000396717247181555,0.000683386626418425,"numeric",-0.0505978288883751,14.1621307526477
"NEE",0.000672338129417929,0.00126275914963614,"numeric",-0.404005767216724,16.4037675652826
"RTX",0.000343994334150966,0.000600460398354485,"numeric",-0.351557993125126,18.8463287142444
"T",0.000199934065564166,0.000591479553203378,"numeric",-0.475497763264901,11.8290366123756
"HON",0.00056039994583549,0.000858585689954339,"numeric",-0.208769848394182,15.3633209634598
"ORCL",0.000428616776995189,0.00078218828513954,"numeric",0.397521135258907,20.0321054533796
"UPS",0.00046633259764863,0.000679226630676766,"numeric",0.365923426969211,14.7561578629693
"AMGN",0.000512220456817948,0.000458622371734663,"numeric",0.118070690220168,7.8107993832487
"CAT",0.000502389367851095,0.000430091982183356,"numeric",-0.422145858614524,8.24232727756504
"LOW",0.000759852934223637,0.00135234719878685,"numeric",-1.7212884617165,33.8351502378393
"MS",0.000719662378841374,0.000866974465520531,"numeric",-0.0261529340401203,14.2016343100192
"UNP",0.000540422128834123,0.000707192260632539,"numeric",-0.486649763856836,11.9882774677501
"SBUX",0.000612702114786619,0.0007135793824391,"numeric",-0.222024582920601,16.3055815781783
"SPGI",0.000797790475294224,0.00125868889924252,"numeric",-0.729979443759558,16.7046444777368
